Job ID,Cluster,User/Group,State,Nodes,Cores per node,CPU Utilized,CPU Efficiency,Job Wall-clock time,Memory Utilized,Memory Efficiency,Cores,Array Job ID,WARNING
70000,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:43,26.50,00:01:50,15.88,15.88,,,
70001,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:35,25.44,00:01:53,14.74,14.74,,,
70002,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:30,25.68,00:01:51,15.21,15.21,,,
70003,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:40,26.13,00:01:51,14.39,14.39,,,
70004,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:47,26.44,00:01:51,16.18,16.18,,,
70005,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:48,26.25,00:01:52,15.31,15.31,,,
70006,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:29,25.63,00:01:51,16.25,16.25,,,
70007,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:47,26.68,00:01:50,15.51,15.51,,,
70008,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:45,25.22,00:01:56,14.79,14.79,,,
70009,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:51,26.38,00:01:52,14.77,14.77,,,
70010,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:51,26.62,00:01:51,15.17,15.17,,,
70011,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:25,25.22,00:01:52,16.06,16.06,,,
70012,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:42,26.22,00:01:51,15.57,15.57,,,
70013,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:42,26.22,00:01:51,15.37,15.37,,,
70014,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:36,26.18,00:01:50,15.38,15.38,,,
70015,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:49,26.53,00:01:51,15.45,15.45,,,
70016,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:36,26.67,00:01:48,16.04,16.04,,,
70017,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:46,25.70,00:01:54,15.48,15.48,,,
70018,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:42,26.70,00:01:49,15.85,15.85,,,
70019,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:10:00,26.79,00:01:52,27.56,27.56,,,
70020,ihealth-cluster,bllancao/bllancao,COMPLETED (exit code 0),1,20,00:09:43,26.26,00:01:51,16.25,16.25,,,
70021,ihealth-cluster,maparegal/maparegal,FAILED (exit code 130),1,2,00:00:08,0.34,00:19:22,704.72 MB,3.44,,,
